,Instrument,Price Close
2001-02-16,.SPXTR,1814.2155
2001-04-12,.SPXTR,1652.8306
2001-05-25,.SPXTR,1787.2776
2001-07-03,.SPXTR,1728.6495
2001-08-31,.SPXTR,1591.1819
2001-11-21,.SPXTR,1601.0206
2001-12-24,.SPXTR,1613.6024
2001-12-31,.SPXTR,1618.9788
2002-01-18,.SPXTR,1591.0777
2002-02-15,.SPXTR,1559.9755
2002-03-28,.SPXTR,1623.4289
2002-05-24,.SPXTR,1537.0233
2002-07-03,.SPXTR,1355.3966
2002-08-30,.SPXTR,1304.8553
2002-11-27,.SPXTR,1343.4711
2002-12-24,.SPXTR,1278.5787
2002-12-31,.SPXTR,1261.1763
2003-01-17,.SPXTR,1293.6265
2003-02-14,.SPXTR,1199.6068
2003-04-17,.SPXTR,1287.9892
2003-05-16,.SPXTR,1363.3177
2003-05-19,.SPXTR,1329.3796
2003-05-20,.SPXTR,1327.873
2003-05-21,.SPXTR,1333.3286
2003-05-22,.SPXTR,1345.5331
2003-05-23,.SPXTR,1347.4938
2003-05-23,.SPXTR,1347.4938
2003-05-27,.SPXTR,1373.8636
2003-05-28,.SPXTR,1376.5749
2003-05-29,.SPXTR,1371.5106
2003-05-30,.SPXTR,1391.7244
2003-06-11,.SPXTR,1441.8594
2003-06-12,.SPXTR,1443.4135
2003-06-13,.SPXTR,1429.1131
2003-06-17,.SPXTR,1462.481
2003-06-18,.SPXTR,1460.3165
2003-06-19,.SPXTR,1438.0865
2003-06-20,.SPXTR,1439.5361
2003-06-23,.SPXTR,1419.241
2003-06-24,.SPXTR,1421.8579
2003-06-25,.SPXTR,1410.0946
2003-06-26,.SPXTR,1425.8238
2003-06-27,.SPXTR,1411.9658
2003-06-30,.SPXTR,1409.4778
2003-07-01,.SPXTR,1421.0261
2003-07-02,.SPXTR,1437.6142
2003-07-03,.SPXTR,1425.9658
2003-07-03,.SPXTR,1425.9658
2003-07-07,.SPXTR,1453.0719
2003-07-08,.SPXTR,1458.5122
2003-07-09,.SPXTR,1450.5062
2003-07-10,.SPXTR,1430.9605
2003-07-11,.SPXTR,1444.6999
2003-07-14,.SPXTR,1453.0009
